
#The following shows the html-tag count of u01_A0.xml:
Character	0	=> 153
Character	1	=> 466
Character	2	=> 1401
Character	3	=> 485
Character	4	=> 1002
Character	5	=> 325
Character	6	=> 295
Character	7	=> 288
Character	8	=> 251
Character	9	=> 151
Character	:	=> 2893
Character	;	=> 1912
Character	<	=> 24319
Character	=	=> 15471
Character	>	=> 24319
Character	?	=> 14
Character	@	=> 81
Character	A	=> 2630
Character	B	=> 226
Character	C	=> 56
Character	D	=> 52
Character	E	=> 124
Character	F	=> 1385
Character	G	=> 74
Character	H	=> 582
Character	I	=> 555
Character	J	=> 110
Character	K	=> 1757
Character	L	=> 310
Character	M	=> 2093
Character	N	=> 89
Character	O	=> 108
Character	P	=> 34
Character	Q	=> 36
Character	R	=> 46
Character	S	=> 1436
Character	T	=> 2234
Character	U	=> 8
Character	V	=> 17
Character	W	=> 49
Character	Y	=> 102
Character	Z	=> 90
Character	[	=> 1327
Character	]	=> 1327
Character	^	=> 4
Character	a	=> 32482
Character	b	=> 4157
Character	c	=> 5184
Character	d	=> 13930
Character	e	=> 46459
Character	f	=> 14537
Character	g	=> 17087
Character	h	=> 23985
Character	i	=> 40548
Character	j	=> 147
Character	k	=> 1750
Character	l	=> 18855
Character	m	=> 8183
Character	n	=> 37658
Character	o	=> 29224
Character	p	=> 5852
Character	q	=> 277
Character	r	=> 38312
Character	s	=> 15353
Character	t	=> 29610
Character	u	=> 5645
Character	v	=> 1431
Character	w	=> 3523
Character	x	=> 1048
Character	y	=> 6101
Character	z	=> 61
Character	Á	=> 4
Character	à	=> 22
Character	á	=> 142
Character	â	=> 2
Character	å	=> 2
Character	æ	=> 3
Character	ì	=> 1
Character	ï	=> 2
Character	œ	=> 1
Character	ء	=> 262
Character	آ	=> 236
Character	أ	=> 651
Character	ؤ	=> 69
Character	إ	=> 119
Character	ئ	=> 76
Character	ا	=> 3152
Character	ب	=> 1505
Character	ة	=> 949
Character	ت	=> 881
Character	ث	=> 4729
Character	ج	=> 366
Character	ح	=> 234
Character	خ	=> 179
Character	د	=> 531
Character	ذ	=> 105
Character	ر	=> 1572
Character	ز	=> 52
Character	س	=> 291
Character	ش	=> 158
Character	ص	=> 99
Character	ض	=> 99
Character	ط	=> 182
Character	ظ	=> 17
Character	ع	=> 687
Character	غ	=> 168
Character	ف	=> 725
Character	ق	=> 685
Character	ك	=> 272
Character	ل	=> 2699
Character	م	=> 1916
Character	ن	=> 1675
Character	ه	=> 782
Character	و	=> 1156
Character	ى	=> 738
Character	ي	=> 1120
Character	ً	=> 173
Character	ٌ	=> 2211
Character	ٍ	=> 176
Character	َ	=> 9592
Character	ُ	=> 2885
Character	ِ	=> 2961
Character	ّ	=> 1353
Character	ْ	=> 2677
Character	ٰ	=> 51
Character	پ	=> 2
Character	ڤ	=> 2
Character	گ	=> 1
Character	―	=> 610
Character	‘	=> 1
Character	’	=> 1
Character	“	=> 46
Character	”	=> 46
Character	↓	=> 492
Total:	716471


#The following shows the html-tag count of u05_j0.xml:
</G>	=> 3
</H>	=> 3
</L>	=> 158
</TEI.2>	=> 1
</body>	=> 1
</div1>	=> 1
</div2>	=> 203
</entryFree>	=> 2121
</foreign>	=> 11585
</form>	=> 2403
</head>	=> 203
</hi>	=> 15900
</itype>	=> 607
</orth>	=> 4136
</quote>	=> 97
</text>	=> 1
<?xml>	=> 1
<G>	=> 3
<H>	=> 3
<L>	=> 158
<TEI.2>	=> 1
<body>	=> 1
<div1>	=> 1
<div2>	=> 203
<entryFree>	=> 2121
<foreign>	=> 11585
<form>	=> 2403
<head>	=> 203
<hi>	=> 15900
<itype>	=> 607
<milestone>	=> 2399
<orth>	=> 4137
<pb>	=> 126
<quote>	=> 97
<text>	=> 1

#The following shows the character count of u05_j0.xml:
Character	NL	=> 34072
Character	SP	=> 275262
Character	!	=> 25
